station_id,flag,note
DESM_DEBE5827700,transfer,"bemerkung: ""Staubeeinflusst und verzweigtes Gewaessersystem. Weiterer Abfluss ueber Teltowkanal moeglich"" - Abflussaufteilung im Berliner Gewaessernetz kuenstlich gesteuert"
DESM_DEBW1140,transfer,"unsicher: bemerkung: ""Klaeranlagenanteil bei Niedrigwasser bei ca. 20%"" - genau an der 20-%-Schwelle; konsequente Anwendung der Regel - Vorbehalt: Grenzfall"
DESM_DEBW3318,erosion,"bemerkung: ""Ausgepraegtes Geschiebe"", Pegelumbau Juli 2018"
DESM_DEBW431,transfer,"bemerkung: ""Klaeranlagenanteil bei Niedrigwasser bei ca. 40%"" - dokumentierter Fremdwasseranteil weit ueber der 20-%-Schwelle; der Niedrigwasserabfluss ist zu rund 40 % Abwasser und damit nicht klimagetrieben"
DESM_DEBW461,erosion,"bemerkung: ""Ausgepraegte Sedimentation"" - W-Q-Beziehung driftet, betrifft W nicht Q"
DESM_DEBY10039802,reservoir,"unterhalb Lech-Muendung: Forggensee/Roszhaupten (168 hm3, EZG 1592 km2) sowie Iller-/Wertach-Speicher mit saisonaler Bewirtschaftung und Mindestabgabe-Regelung; Staustufenkette der Donau"
DESM_DEBY10046105,reservoir,"unterhalb Lech-Muendung: Forggensee/Roszhaupten (168 hm3, EZG 1592 km2) sowie Iller-/Wertach-Speicher mit saisonaler Bewirtschaftung und Mindestabgabe-Regelung; Staustufenkette der Donau"
DESM_DEBY10053009,reservoir,"unterhalb Lech-Muendung: Forggensee/Roszhaupten (168 hm3, EZG 1592 km2) sowie Iller-/Wertach-Speicher mit saisonaler Bewirtschaftung und Mindestabgabe-Regelung; Staustufenkette der Donau"
DESM_DEBY10053009,transfer,"unsicher: unterhalb Entnahmestelle Bad Goegging: Donau-Main-Ueberleitung entnimmt Donauwasser in das Rhein-/Maineinzugsgebiet, bis 21 m3/s gerade in Trockenperioden (Vorbehalt: Jahresmittel nur ~5 m3/s)"
DESM_DEBY17207508,reservoir,"bemerkung: ""Abfluesse seit 1976 durch den Vilstalsee (AEo = 666 km2; Gesamtstauraum = 10.7 hm3) beeinflusst"" - gesteuertes Teil-EZG = 46 % des Pegel-EZG"
DESM_DEBY18003004,reservoir,alpine Speicherkraftwerke im oesterreichisch-schweizerischen Inn-EZG verschieben Abfluss vom Sommer in den Winter
DESM_DEBY18003004,transfer,"bemerkung: ""Abfluesse werden durch auszerhalb Deutschlands gelegene Zu- und Ableitungen beeinflusst"" (Engadiner Kraftwerke, Inntal-Ueberleitungen)"
DESM_DEBY18606000,reservoir,unsicher: alpine Speicherkraftwerke im oesterreichischen Salzach-EZG (Tauernkraftwerke Kaprun u.a.) mit saisonaler Umverteilung - Vorbehalt: Flaechenanteil moderat
DESM_DEMV58110.0,transfer,"Bolter Kanal: kuenstlicher Kanal der Mueritz-Havel-Wasserstrasze; ausgewiesenes EZG von 3 km2 zeigt, dass der Abfluss reine Schleusen-/Seenbewirtschaftung ist"
DESM_DENW2721390000100,reservoir,"bemerkung: ""Pegel seit 1971 durch Obernautalsperre ... beeinflusst"""
DESM_DENW2721390000100,transfer,"bemerkung: ""seit 1985 zusaetzlich durch Beileitungssystem beeinflusst"""
DESM_DENW2721770000200,reservoir,"bemerkung: ""Pegel durch Talsperren beeinflusst"""
DESM_DENW2725910000100,reservoir,"bemerkung: ""Durch Talsperren, Obernau 1972 beeinflusst"""
DESM_DENW2728930000200,reservoir,"bemerkung: ""Durch Talsperren, Agger-1930, Genkel-1954, Wiehl-1974 beeinflusst"""
DESM_DENW2728930000200,transfer,"bemerkung: ""Ueberleitung in die Dhuenn seit 01.04.1992"" - Wasser verlaesst das Agger-EZG; klarer Stufenwechsel 1992 mitten im Analysezeitraum"
DESM_DENW2729100000100,reservoir,"bemerkung: ""Durch Talsperren, Obernau-1972, Wahnbach-1958, Agger-1930, Genkel-1954, Wiehl-1974 beeinflusst"""
DESM_DENW2729100000100,transfer,Wahnbachtalsperre exportiert Trinkwasser nach Bonn/Rhein-Sieg (aus dem Sieg-EZG heraus); Agger-Dhuenn-Ueberleitung wirkt ebenfalls oberhalb
DESM_DENW2736510000100,reservoir,"bemerkung: ""Durch mehrere Talsperren beeinflusst. Seit 01.11.1987 Betrieb der Wuppertalsperre"" - Stufenwechsel mitten in der Reihe"
DESM_DENW2736790000200,reservoir,"bemerkung: ""Durch mehrere Talsperren beeinflusst. Seit 01.11.1987 Betrieb der Wuppertalsperre"""
DESM_DENW2736879000200,reservoir,"bemerkung: ""Ab 1987 durch Grosze Dhuenntalsperre beeinflusst"" (81 hm3, Trinkwasser)"
DESM_DENW2736879000200,transfer,Grosze Dhuenntalsperre wird ueber Beileitungen gespeist und exportiert Trinkwasser aus dem Dhuenn-EZG; laut bemerkung Pegel Lohmar zusaetzlich Ueberleitung Agger -> Dhuenn seit 01.04.1992
DESM_DENW2747900000200,mining,"bemerkung: ""Durch Einleitungen von Suempfungswaessern aus dem Braunkohlentagebauen beeinflusst"" - Erft-Abfluss ist ueber Jahrzehnte kuenstlich aufgehoeht, Rueckbau bis 2030 erzeugt Trendbruch"
DESM_DENW2761510000100,reservoir,"Hennetalsperre (Ruhrverband, 38 hm3) liegt oberhalb: Pegel bei Ruhr-km 178,34, Henne-Muendung km 182,3; LAWA-Paritaetsregel (Abschnitt 27615 liegt unterhalb des Zuflusses 27614) und EZG-Arithmetik (426 = 329 Ruhr + 97 Henne) bestaetigen die Lage unterhalb. Teil der Ruhrverbands-Niedrigwasseraufhoehung"
DESM_DENW2765590000100,reservoir,"bemerkung: ""Referenzpegel fuer die Steuerung der Talsperren"" - Ruhrverband haelt an Villigst eine garantierte Mindestwasserfuehrung; direkteste denkbare Niedrigwassersteuerung"
DESM_DENW2766930000100,reservoir,"bemerkung: ""Talsperrenbeeinflussung ab 1968 (Biggetalsperre)"" - Bigge 172 hm3, Teil der Ruhrverbands-Niedrigwasseraufhoehung"
DESM_DENW2768897000100,reservoir,"bemerkung: ""Talsperrenbeeinflussung ab 1904/1912 (Ennepetalsperre)"""
DESM_DENW2768900000100,reservoir,"bemerkung: ""Talsperrenbeeinflussung ab 1904/1912 (Ennepetalsperre)"" - korrekt: der Pegel Hagen_Eckesey liegt unterhalb der Ennepe-Muendung, EZG-Arithmetik 425 km2 = Volme + Ennepe (156 km2); zusaetzlich Gloertalsperre im Volme-System"
DESM_DENW2787990000100,transfer,unsicher: unterhalb Hamm/Datteln: Speisung von Dortmund-Ems-Kanal und Wesel-Datteln-Kanal entnimmt der Lippe Wasser (Vorbehalt: Entnahmemenge nicht quantifiziert)
DESM_DENW2788730000100,reservoir,Halterner Stausee (Gelsenwasser) unmittelbar oberhalb - Trinkwassergewinnung mit Stauregulierung
DESM_DENW2788730000100,transfer,"Gelsenwasser foerdert aus dem Halterner Stauseesystem Trinkwasser in das Ruhrgebiet, also aus dem Stever-EZG heraus"
DESM_DENW2789770000100,transfer,unsicher: unterhalb Hamm/Datteln: Speisung von Dortmund-Ems-Kanal und Wesel-Datteln-Kanal entnimmt der Lippe Wasser (Vorbehalt: Entnahmemenge nicht quantifiziert)
DESM_DENW2822900000200,reservoir,Urfttalsperre (45 hm3) liegt unmittelbar oberhalb; Pegel-EZG 345 km2 entspricht praktisch dem Talsperren-EZG
DESM_DENW2822900000200,transfer,Urftwasser wird per Stollen zum Kraftwerk Heimbach in die Rur abgeleitet - Wasser verlaesst die Urft oberhalb des natuerlichen Zusammenflusses
DESM_DENW2824590000400,mining,Inde wurde fuer den Tagebau Inden verlegt; Vorfluter fuer Braunkohle-Suempfungswaesser
DESM_DENW2825190000200,reservoir,"Rurtalsperre Schwammenauel (203 hm3, WVER) mit Niedrigwasseraufhoehung der Rur oberhalb"
DESM_DENW2829100000100,mining,unterhalb Inde-Muendung: Suempfungswasser Tagebau Inden/Hambach ueber die Inde in die Rur
DESM_DENW2829100000100,reservoir,Rurtalsperren-System (Schwammenauel/Urft) oberhalb
DESM_DENW2849900000100,mining,"Schwalm im Einflussbereich der Garzweiler-Suempfung; RWE-Einleitmaszahmen ""im Bereich der Schwalm"" (aktuell ~1.7 Mio m3/a, wasserrechtlich befristet) stuetzen den Abfluss"
DESM_DENW2869500000200,mining,Niersquelle bei Kuckum durch Tagebau-Suempfung versiegt; die Niers wird seither aus Suempfungswasser gespeist (RWE-Einleitmaszahmen Garzweiler) - Niedrigwasserabfluss vollstaendig anthropogen
DESM_DENW4433000000100,reservoir,"bemerkung: ""Talsperrenbeeinflussungen"" (Diemeltalsperre, 20 hm3)"
DESM_DESL1092220,reservoir,"Talsperre Nonnweiler/Primstalsperre (20 hm3) oberhalb, betrieben u.a. zur Niedrigwasseraufhoehung der Saar und zur Trinkwasserversorgung"
DESM_DESL1092220,transfer,Nonnweiler liefert Trinkwasser ins saarlaendische Verbundnetz (Ausleitung aus dem Prims-EZG)
DESM_DESN553020,mining,"Obere Schwarze Elster mitten im Lausitzer Braunkohlerevier (Tagebaue Nochten/Reichwalde, Sanierungsbergbau, Restseeflutung) - Abfluss ueber Jahrzehnte durch Suempfung kuenstlich erhoeht, nach Auslauf der Suempfung fallend"
DESM_DESN554220,mining,Hoyerswerdaer Schwarzwasser unmittelbar im Tagebaugebiet Nochten/Reichwalde; Vorfluter fuer Grubenwasser und Flutungswasser
DESM_DESN560021,reservoir,"Vereinigte Mulde unterhalb des gesamten erzgebirgischen Trinkwassertalsperren-Systems (Eibenstock, Kriebstein, Rauschenbach, Saidenbach, Klingenberg/Lehnmuehle)"
DESM_DESN560021,transfer,erzgebirgische Trinkwassertalsperren exportieren Fernwasser nach Chemnitz/Dresden/Leipzig aus dem Mulde-EZG heraus
DESM_DESN562115,reservoir,"Talsperre Eibenstock (75 hm3, Trinkwasser) sowie Muldenberg/Carlsfeld im Oberlauf der Zwickauer Mulde"
DESM_DESN562115,transfer,Eibenstock speist die Fernwasserversorgung Suedsachsen - Ausleitung aus dem EZG
DESM_DESN567451,reservoir,"unsicher: Zschopau unterhalb Floeha-Muendung: Talsperren Rauschenbach, Saidenbach, Neunzehnhain im Floeha-System (Vorbehalt: Flaechenanteil ~10 %)"
DESM_DESN567451,transfer,Trinkwasserausleitung aus dem Floeha-/Zschopau-System in den suedsaechsischen Fernwasserverbund
DESM_DESN576631,mining,"Leipziger Suedraum: Flutung von Zwenkauer und Cospudener See aus der Weiszen Elster, Suempfungswassereinleitungen, Flussverlegungen - Niedrigwasserregime massiv ueberpraegt"
DESM_DESN576631,reservoir,"Talsperren Pirk und Poehl (62 hm3, Brauch-/Niedrigwasseraufhoehung der Weiszen Elster) oberhalb"
DESM_DESN583251,mining,"Schwarzer Schoeps im Tagebaufeld Nochten/Reichwalde, Verlegungen und Grubenwassereinleitung"
DESM_DESN583251,reservoir,"Talsperre Quitzdorf (25 hm3) oberhalb, Teil des Lausitzer Wasserverbundsystems zur Niedrigwasserstuetzung"
DESM_DESN583290,mining,Weiszer Schoeps wurde fuer die Tagebaue Reichwalde/Nochten verlegt bzw. umverlegt; Vorfluter fuer Grubenwasser
DESM_DESN660100,mining,unsicher: Lausitzer Neisze unterhalb der Einleitungen des polnischen Tagebaus Turow (Grubenwasserhaltung Bogatynia) - Vorbehalt: Menge nicht quantifiziert
DESM_DESN660160,mining,"Neisze unterhalb Turow und unterhalb der Entnahmestelle fuer die Flutung des Berzdorfer Sees (2002-2013, mehrere m3/s) - klarer Eingriff mitten im Analysezeitraum"
DESM_DESN663090,mining,"Plieszznitz bei Tauchritz unmittelbar am Berzdorfer See (Tagebau Berzdorf, Flutung 2002-2013) - Vorfluter/Flutungsgewaesser"
DESM_DEST553060,mining,Schwarze Elster unterhalb des gesamten Lausitzer Reviers
DESM_DEST576610,erosion,"bemerkung: ""Beeinflussung durch Wehre oh., Verkrautung"" - Verkrautung destabilisiert die W-Q-Beziehung saisonal, Wehrsteuerung oberhalb kommt hinzu; reiner Hinweis, kein Ausschluss (Wehrstau ohne Speicher, vgl. Report 5.6)"
DESM_DEST576610,reservoir,"Talsperren Pirk und Poehl (62 hm3, Brauch-/Niedrigwasseraufhoehung der Weiszen Elster) oberhalb"
DESM_DEST579070,reservoir,"bemerkung: ""Beeinflussung durch TS Wendefurth"" - Rappbode-Talsperrensystem (~165 hm3) mit Niedrigwasseraufhoehung und Brauchwasserabgabe"
DESM_DEST579070,transfer,"Rappbode-System liefert Fernwasser nach Halle/Magdeburg, also aus dem Bode-EZG heraus"
DESM_DETH421510,reservoir,"Talsperre Schoenbrunn (23 hm3, Trinkwasser) oberhalb an der Schleuse"
DESM_DETH421510,transfer,Schoenbrunn speist das Thueringer Fernwassernetz - Ausleitung aus dem EZG
DESM_DETH570250,reservoir,"unterhalb der Saale-Kaskade (Bleiloch 215 hm3 + Hohenwarte 182 hm3): groesztes deutsches Speichersystem, Abgabe zur Niedrigwasseraufhoehung und Energieerzeugung dominiert das Sommer-Niedrigwasser"
DESM_DETH570260,reservoir,"unterhalb der Saale-Kaskade (Bleiloch 215 hm3 + Hohenwarte 182 hm3): groesztes deutsches Speichersystem, Abgabe zur Niedrigwasseraufhoehung und Energieerzeugung dominiert das Sommer-Niedrigwasser"
DESM_DETH570270,reservoir,"unterhalb der Saale-Kaskade (Bleiloch 215 hm3 + Hohenwarte 182 hm3): groesztes deutsches Speichersystem, Abgabe zur Niedrigwasseraufhoehung und Energieerzeugung dominiert das Sommer-Niedrigwasser"
DESM_DETH570280,reservoir,"unterhalb der Saale-Kaskade (Bleiloch 215 hm3 + Hohenwarte 182 hm3): groesztes deutsches Speichersystem, Abgabe zur Niedrigwasseraufhoehung und Energieerzeugung dominiert das Sommer-Niedrigwasser"
DESM_DETH570330,reservoir,"unterhalb der Saale-Kaskade (Bleiloch 215 hm3 + Hohenwarte 182 hm3): groesztes deutsches Speichersystem, Abgabe zur Niedrigwasseraufhoehung und Energieerzeugung dominiert das Sommer-Niedrigwasser"
DESM_DETH572115,reservoir,"Talsperre Leibis-Lichte (39 hm3) im Lichte-Zufluss, in Betrieb seit 2005 - Stufenwechsel mitten im Analysezeitraum"
DESM_DETH572115,transfer,Leibis-Lichte ist Trinkwassertalsperre der Fernwasserversorgung Thueringen; Wasser verlaesst das Schwarza-EZG
DESM_DETH574210,reservoir,Gera unterhalb Apfelstaedt-Muendung - erbt die Steuerung des Ohra-/Schmalwasser-Systems
DESM_DETH574210,transfer,erbt die Ohra-Fernwasserueberleitung ueber die Apfelstaedt
DESM_DETH574630,reservoir,Talsperren Ohra/Schmalwasser/Tambach-Dietharz oberhalb; die Apfelstaedt faellt unterhalb der Entnahme regelmaeszig trocken
DESM_DETH574630,transfer,"Ohra-Ueberleitung: Trinkwasser wird in das Thueringer Fernwassernetz (Erfurt/Gotha) ausgeleitet, verlaesst das Apfelstaedt-EZG"
DESM_DETH576470,reservoir,"Talsperren Pirk und Poehl (62 hm3, Brauch-/Niedrigwasseraufhoehung der Weiszen Elster) oberhalb"
DESM_DETH576520,reservoir,"Talsperren Pirk und Poehl (62 hm3, Brauch-/Niedrigwasseraufhoehung der Weiszen Elster) oberhalb"
DESM_DETH577320,reservoir,Talsperren Zeulenroda und Weida oberhalb (Trinkwasserversorgung Ostthueringen)
DESM_DETH577320,transfer,Fernwasserausleitung aus dem Weida-EZG (Trinkwasserverbund Ostthueringen)
DESM_DEXX10056302,reservoir,"unterhalb Lech-Muendung: Forggensee/Roszhaupten (168 hm3, EZG 1592 km2) sowie Iller-/Wertach-Speicher mit saisonaler Bewirtschaftung und Mindestabgabe-Regelung; Staustufenkette der Donau"
DESM_DEXX10056302,transfer,"unsicher: unterhalb Entnahmestelle Bad Goegging: Donau-Main-Ueberleitung entnimmt Donauwasser in das Rhein-/Maineinzugsgebiet, bis 21 m3/s gerade in Trockenperioden (Vorbehalt: Jahresmittel nur ~5 m3/s)"
DESM_DEXX10078000,reservoir,"unterhalb Lech-Muendung: Forggensee/Roszhaupten (168 hm3, EZG 1592 km2) sowie Iller-/Wertach-Speicher mit saisonaler Bewirtschaftung und Mindestabgabe-Regelung; Staustufenkette der Donau"
DESM_DEXX10078000,transfer,"unsicher: unterhalb Entnahmestelle Bad Goegging: Donau-Main-Ueberleitung entnimmt Donauwasser in das Rhein-/Maineinzugsgebiet, bis 21 m3/s gerade in Trockenperioden (Vorbehalt: Jahresmittel nur ~5 m3/s)"
DESM_DEXX10088003,reservoir,"unterhalb Lech-Muendung: Forggensee/Roszhaupten (168 hm3, EZG 1592 km2) sowie Iller-/Wertach-Speicher mit saisonaler Bewirtschaftung und Mindestabgabe-Regelung; Staustufenkette der Donau"
DESM_DEXX10088003,transfer,"unsicher: unterhalb Entnahmestelle Bad Goegging: Donau-Main-Ueberleitung entnimmt Donauwasser in das Rhein-/Maineinzugsgebiet, bis 21 m3/s gerade in Trockenperioden (Vorbehalt: Jahresmittel nur ~5 m3/s)"
DESM_DEXX23700200,erosion,"Oberrhein-Erosionsstrecke unterhalb Iffezheim (Geschiebezugabe); betrifft W, nicht Q"
DESM_DEXX23700200,reservoir,Alpine Speicherkraftwerke CH/AT (>2 km3 Speicherinhalt) + Bodensee-/Alpenrhein-Regulierung: saisonale Umverteilung Sommer->Winter praegt das Sommer-Niedrigwasser des Rheins; zusaetzlich Talsperrensysteme in Neckar-/Main-/Mosel-/Ruhr-Zufluessen
DESM_DEXX23700600,erosion,"Oberrhein-Erosionsstrecke unterhalb Iffezheim (Geschiebezugabe); betrifft W, nicht Q"
DESM_DEXX23700600,reservoir,Alpine Speicherkraftwerke CH/AT (>2 km3 Speicherinhalt) + Bodensee-/Alpenrhein-Regulierung: saisonale Umverteilung Sommer->Winter praegt das Sommer-Niedrigwasser des Rheins; zusaetzlich Talsperrensysteme in Neckar-/Main-/Mosel-/Ruhr-Zufluessen
DESM_DEXX23900200,reservoir,Alpine Speicherkraftwerke CH/AT (>2 km3 Speicherinhalt) + Bodensee-/Alpenrhein-Regulierung: saisonale Umverteilung Sommer->Winter praegt das Sommer-Niedrigwasser des Rheins; zusaetzlich Talsperrensysteme in Neckar-/Main-/Mosel-/Ruhr-Zufluessen
DESM_DEXX24300304,transfer,"unterhalb Regnitz-Muendung: Donau-Main-Ueberleitung (Brombachsee/Altmuehlsee -> Rednitz/Regnitz) hoeht das Main-Niedrigwasser gezielt auf, bis 21 m3/s"
DESM_DEXX24300600,transfer,"unterhalb Regnitz-Muendung: Donau-Main-Ueberleitung (Brombachsee/Altmuehlsee -> Rednitz/Regnitz) hoeht das Main-Niedrigwasser gezielt auf, bis 21 m3/s"
DESM_DEXX24900108,transfer,"unterhalb Regnitz-Muendung: Donau-Main-Ueberleitung (Brombachsee/Altmuehlsee -> Rednitz/Regnitz) hoeht das Main-Niedrigwasser gezielt auf, bis 21 m3/s"
DESM_DEXX25100100,reservoir,Alpine Speicherkraftwerke CH/AT (>2 km3 Speicherinhalt) + Bodensee-/Alpenrhein-Regulierung: saisonale Umverteilung Sommer->Winter praegt das Sommer-Niedrigwasser des Rheins; zusaetzlich Talsperrensysteme in Neckar-/Main-/Mosel-/Ruhr-Zufluessen
DESM_DEXX25100100,transfer,unterhalb Main-Muendung: Donau-Main-Ueberleitung (Brombachsee/Altmuehl -> Regnitz/Main) fuehrt in Trockenperioden bis 21 m3/s zusaetzliches Donauwasser in das Rheineinzugsgebiet
DESM_DEXX25700100,reservoir,Alpine Speicherkraftwerke CH/AT (>2 km3 Speicherinhalt) + Bodensee-/Alpenrhein-Regulierung: saisonale Umverteilung Sommer->Winter praegt das Sommer-Niedrigwasser des Rheins; zusaetzlich Talsperrensysteme in Neckar-/Main-/Mosel-/Ruhr-Zufluessen
DESM_DEXX25700100,transfer,unterhalb Main-Muendung: Donau-Main-Ueberleitung (Brombachsee/Altmuehl -> Regnitz/Main) fuehrt in Trockenperioden bis 21 m3/s zusaetzliches Donauwasser in das Rheineinzugsgebiet
DESM_DEXX26100100,reservoir,"unsicher: Mosel: franzoesische Speicher (Reservoir du Vieux-Pre u.a.) werden zur Stuetzung des Moselniedrigwassers bewirtschaftet, dazu die durchgehende Staustufenkette der Groszschifffahrtsstrasze - Vorbehalt: Effektgroesze nicht quantifiziert"
DESM_DEXX26400220,mining,"unsicher: Grubenwasserhaltung des Saarreviers: jahrzehntelange Einleitung gehobener Grubenwaesser, seit Einstellung des Bergbaus 2012 im Umbau; potenzieller Trendbruch mitten im Analysezeitraum, Mengengeruest nicht belegt"
DESM_DEXX26400220,reservoir,"Saar: Niedrigwasseraufhoehung aus der Talsperre Nonnweiler, dazu Staustufenkette der kanalisierten Saar und franzoesische Stauhaltungen im Oberlauf"
DESM_DEXX26400550,mining,"unsicher: Grubenwasserhaltung des Saarreviers: jahrzehntelange Einleitung gehobener Grubenwaesser, seit Einstellung des Bergbaus 2012 im Umbau; potenzieller Trendbruch mitten im Analysezeitraum, Mengengeruest nicht belegt"
DESM_DEXX26400550,reservoir,"Saar: Niedrigwasseraufhoehung aus der Talsperre Nonnweiler, dazu Staustufenkette der kanalisierten Saar und franzoesische Stauhaltungen im Oberlauf"
DESM_DEXX26900400,mining,"unsicher: unterhalb Saar-Muendung: Grubenwaesser des Saarreviers, Menge nicht quantifizierbar"
DESM_DEXX26900400,reservoir,"unsicher: Mosel: franzoesische Speicher (Reservoir du Vieux-Pre u.a.) werden zur Stuetzung des Moselniedrigwassers bewirtschaftet, dazu die durchgehende Staustufenkette der Groszschifffahrtsstrasze - Vorbehalt: Effektgroesze nicht quantifiziert"
DESM_DEXX27100400,reservoir,Alpine Speicherkraftwerke CH/AT (>2 km3 Speicherinhalt) + Bodensee-/Alpenrhein-Regulierung: saisonale Umverteilung Sommer->Winter praegt das Sommer-Niedrigwasser des Rheins; zusaetzlich Talsperrensysteme in Neckar-/Main-/Mosel-/Ruhr-Zufluessen
DESM_DEXX27100400,transfer,unterhalb Main-Muendung: Donau-Main-Ueberleitung (Brombachsee/Altmuehl -> Regnitz/Main) fuehrt in Trockenperioden bis 21 m3/s zusaetzliches Donauwasser in das Rheineinzugsgebiet
DESM_DEXX2710080,reservoir,Alpine Speicherkraftwerke CH/AT (>2 km3 Speicherinhalt) + Bodensee-/Alpenrhein-Regulierung: saisonale Umverteilung Sommer->Winter praegt das Sommer-Niedrigwasser des Rheins; zusaetzlich Talsperrensysteme in Neckar-/Main-/Mosel-/Ruhr-Zufluessen
DESM_DEXX2710080,transfer,unterhalb Main-Muendung: Donau-Main-Ueberleitung (Brombachsee/Altmuehl -> Regnitz/Main) fuehrt in Trockenperioden bis 21 m3/s zusaetzliches Donauwasser in das Rheineinzugsgebiet
DESM_DEXX2730010,reservoir,Alpine Speicherkraftwerke CH/AT (>2 km3 Speicherinhalt) + Bodensee-/Alpenrhein-Regulierung: saisonale Umverteilung Sommer->Winter praegt das Sommer-Niedrigwasser des Rheins; zusaetzlich Talsperrensysteme in Neckar-/Main-/Mosel-/Ruhr-Zufluessen
DESM_DEXX2730010,transfer,unterhalb Main-Muendung: Donau-Main-Ueberleitung (Brombachsee/Altmuehl -> Regnitz/Main) fuehrt in Trockenperioden bis 21 m3/s zusaetzliches Donauwasser in das Rheineinzugsgebiet
DESM_DEXX2750010,mining,unterhalb Erft-Muendung (Neuss): Suempfungswaesser des Rheinischen Braunkohlereviers ueber Erft/Rur/Inde; RWE-Einleitungen bis ~150 Mio m3/a
DESM_DEXX2750010,reservoir,Alpine Speicherkraftwerke CH/AT (>2 km3 Speicherinhalt) + Bodensee-/Alpenrhein-Regulierung: saisonale Umverteilung Sommer->Winter praegt das Sommer-Niedrigwasser des Rheins; zusaetzlich Talsperrensysteme in Neckar-/Main-/Mosel-/Ruhr-Zufluessen
DESM_DEXX2750010,transfer,unterhalb Main-Muendung: Donau-Main-Ueberleitung (Brombachsee/Altmuehl -> Regnitz/Main) fuehrt in Trockenperioden bis 21 m3/s zusaetzliches Donauwasser in das Rheineinzugsgebiet
DESM_DEXX2770010,erosion,"Niederrhein-Erosionsstrecke; betrifft W, nicht Q"
DESM_DEXX2770010,mining,unterhalb Erft-Muendung (Neuss): Suempfungswaesser des Rheinischen Braunkohlereviers ueber Erft/Rur/Inde; RWE-Einleitungen bis ~150 Mio m3/a
DESM_DEXX2770010,reservoir,Alpine Speicherkraftwerke CH/AT (>2 km3 Speicherinhalt) + Bodensee-/Alpenrhein-Regulierung: saisonale Umverteilung Sommer->Winter praegt das Sommer-Niedrigwasser des Rheins; zusaetzlich Talsperrensysteme in Neckar-/Main-/Mosel-/Ruhr-Zufluessen
DESM_DEXX2770010,transfer,unterhalb Main-Muendung: Donau-Main-Ueberleitung (Brombachsee/Altmuehl -> Regnitz/Main) fuehrt in Trockenperioden bis 21 m3/s zusaetzliches Donauwasser in das Rheineinzugsgebiet
DESM_DEXX2770040,erosion,"Niederrhein-Erosionsstrecke; betrifft W, nicht Q"
DESM_DEXX2770040,mining,unterhalb Erft-Muendung (Neuss): Suempfungswaesser des Rheinischen Braunkohlereviers ueber Erft/Rur/Inde; RWE-Einleitungen bis ~150 Mio m3/a
DESM_DEXX2770040,reservoir,Alpine Speicherkraftwerke CH/AT (>2 km3 Speicherinhalt) + Bodensee-/Alpenrhein-Regulierung: saisonale Umverteilung Sommer->Winter praegt das Sommer-Niedrigwasser des Rheins; zusaetzlich Talsperrensysteme in Neckar-/Main-/Mosel-/Ruhr-Zufluessen
